,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
1913,0.8043797,-0.48826605,-0.76111174,0.018203706,-0.09311448,-0.40097448,-0.90390944,-0.6162047,0.52953845,1.4609281,-0.81369543,-0.60915697,-0.58571106,-0.74167913,-0.65834594,-0.04884882,-1.2976496,4.4494724,0.15137596,-0.631318,0.06813907,-0.35771933,-0.60146254,-0.5555863,-1.1287557,-1.7858044,-1.8064424,-1.3015248,-1.1942307,-1.4721354,-1.6557117
1914,0.5478351,-0.7923404,-0.91122514,0.5898038,-0.0844468,-0.32676682,-1.0498772,-0.7202102,-0.0054483116,1.6291511,0.26705444,0.14940235,-0.5009912,-0.27381274,-0.2378766,0.8298243,-0.88591844,4.2237043,0.11595114,-0.8235406,-0.607444,0.25170115,-0.35238105,-0.7150634,0.7934815,-1.123727,0.049443506,-0.8173572,-1.1461394,-1.473029,-0.76300365
1915,-0.40691954,-0.39381352,-0.30408683,-0.47757417,-0.24064866,1.9564273,0.029326055,-0.48293585,-0.32631618,-0.30751026,0.8449995,0.30031642,0.19887885,1.3764409,0.9374342,-0.6169087,-1.1330308,-0.12367041,-0.3494092,-0.6468269,-0.47258595,-0.28591704,-0.5313964,-0.50326234,1.5876132,-0.37422445,0.13992979,-0.35795608,-0.18721767,-0.30537388,-0.0035963932
1916,0.89426756,-0.49787173,-0.51683354,0.47426194,-0.8177811,-0.24643965,-0.32743275,-0.4193449,-0.20462109,0.62327754,-0.2054601,5.383203,-0.28438067,-0.0776688,-0.11404596,-0.69815904,-0.25449893,-0.021937504,1.7763059,-0.56928444,0.3251049,-0.7148029,-0.43428883,-0.18731795,-0.34383184,-1.2557282,0.12368282,-0.5325813,-0.4773506,-0.3258889,-0.30134314
1917,-0.1965498,-0.4524545,-0.4249607,-0.2130883,-0.4157843,0.3263521,0.21479784,0.5672378,-0.3911804,-0.12918837,1.2224329,0.7690523,-0.119842544,1.0431157,0.11276404,-1.1983924,-1.1802515,-0.7249499,-0.97964245,-0.7805228,-0.8440929,-0.38881278,0.14895692,0.13163054,1.8691057,-0.03042755,2.022828,-0.6896445,-0.16622287,0.4390539,-0.054725047
1918,1.315248,-0.36907417,-0.49206758,0.09009428,0.15413705,0.18693796,-0.18299499,-0.4179206,-0.21805528,4.4021587,-0.23145528,0.03023675,-0.26152006,-0.26240772,-0.34845728,-0.6351635,-0.8016677,0.19736937,-0.397838,-0.85840935,-0.021300977,-0.2567212,-0.5977677,-0.43120825,-1.5116574,-1.6363189,-1.3224778,-1.4085635,-1.2620115,-1.3589231,-1.096459
1919,3.0190248,-0.40569234,-0.5513301,0.28285262,0.86846995,0.11152706,-0.3599892,-0.38044345,0.3973636,0.48829633,-0.40914312,-0.21728662,-0.22225003,-0.3330601,-0.34534854,-1.1999888,-1.2589244,-1.7582226,1.6143785,-1.4380951,-1.0737561,-1.0506171,-0.98170996,-0.7516449,1.44706,0.12481791,-0.0040397407,0.063774176,-0.12463451,0.26988754,-0.5835081
1920,3.297746,-0.39095068,-0.43184835,-0.26003033,1.0800397,0.15608801,-0.22590551,-0.37203717,0.4328636,0.8460697,-0.5070256,-0.3584879,-0.60511565,-0.47939813,-0.47726637,-1.2417945,-1.3001006,-1.0634472,-0.5368818,-1.6291808,-0.97252214,-1.1453371,-1.2334169,-0.84455156,-0.8259835,-0.7086119,-0.8154019,0.23255873,-0.26870552,-0.24978806,-0.6567698
1921,-0.14470775,-0.40394616,0.33843565,-0.061594248,-0.33993676,-0.9537823,-0.38150063,-0.17013389,-0.35882294,-0.021499228,-0.49156633,0.16330218,-1.0640514,4.7652726,-0.11636212,-0.5959709,-1.2542545,0.6070264,-0.99022394,-0.94893634,-0.7537317,-0.1021483,-0.66246,-0.85737514,-0.021028865,-0.6876758,-0.06613212,-0.42020056,-0.52289903,-0.7846462,0.09328818
1922,0.59617066,-0.15675558,0.040368497,0.55416435,4.8626,0.7954066,-0.027230427,-0.07702324,0.026093045,-0.37337124,-0.62236565,-0.6682318,-1.2680256,-0.082559265,-0.093099974,-0.8761734,-0.8895478,-0.8998819,-0.5757909,-1.4663229,-0.8568143,-0.6275772,-0.78742474,-0.7992029,-0.25187352,-0.23141201,-0.52562094,1.2611164,0.19006711,0.07330023,-0.14389294
1923,-0.14929202,-0.37843508,-0.7639642,0.10385139,-0.1560766,0.89486647,-0.2961762,-0.2179511,-0.29453745,0.09928244,1.0406318,-0.15445733,0.59924775,-0.2334879,-0.118610285,1.7850244,-0.86746705,-0.6852397,0.9956429,-0.579871,2.0550494,-0.46444324,-0.17576544,-0.55891144,3.8206735,-0.77622247,0.62904954,-1.1586999,-0.75153327,0.20998992,-0.572111
1924,2.6594214,-0.51646566,-0.5692258,1.2026882,-0.07062885,-0.19027936,-0.3331615,-0.38361922,0.06148918,0.24461634,-0.3636337,-0.28113508,0.06864836,-0.21926811,-0.17496476,-0.8151577,-1.6004078,1.1943794,0.20797758,-1.0870181,-0.5709821,-0.8729573,-0.71085316,-0.7166126,0.53397274,-0.05973278,0.75714666,1.592573,0.37983555,-0.07543721,-0.12278842
1925,-0.15272297,-0.4824991,-0.22855403,-0.14889285,-0.42832056,0.3650866,-0.24390845,-0.24574357,-0.30795816,-0.006630771,1.9534667,0.6408118,-0.43353212,0.2563923,-0.08518979,-0.25828227,-0.90419513,2.2049105,0.31655437,-0.55492365,-0.64959323,-0.113506116,-0.311859,-0.32575542,1.342733,-0.5709248,-0.26825228,-0.47262412,-0.30447185,-0.50896716,0.80294156
1926,0.035836697,-0.4088543,-0.4530494,4.1788616,-0.43905982,-0.52450955,-0.4774955,-0.13126151,-0.40024483,-0.4684842,-0.32810694,-0.8320712,-0.09687921,-0.17601267,-0.21903634,0.04144284,0.16067307,0.051287394,1.4169902,-0.66302073,-0.37657222,-0.15674935,-0.5311621,-0.43116072,-0.20467155,-0.727602,-0.23312965,-0.6545359,-0.5563156,-0.520512,-0.44436806
1927,0.8349794,-0.41279423,-0.60378397,0.21667114,0.48169065,0.51035815,-0.061540395,-0.75586903,0.097001895,0.030068696,-0.11540579,2.1719928,0.682886,-0.16821945,-0.13145849,-0.6666993,-0.28102195,-0.12740257,1.596225,-0.5286073,0.5797657,-0.6546346,-0.408399,-0.14213473,3.1236436,-0.7648352,-0.3901837,-0.24905321,0.14850216,-0.5231005,-0.850582
1928,0.07051566,-0.34236258,-0.27813804,0.22167595,0.083465934,6.221487,-0.5359781,-0.68180704,0.04673733,0.2817469,0.039446294,0.7244003,-0.16309737,-0.0078066885,0.055518683,-0.7646764,-1.3150659,-1.1969517,-0.51578176,-1.4026648,-1.1965474,-0.8379985,-1.1757886,-0.09787293,0.14221963,-1.2208747,-1.277489,-0.846929,-0.9750204,-0.67802244,-0.5255556
