,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Lim2,0.10437006,-0.48478743,-0.15678209,-0.44156465,-1.555351,0.5739919,-3.313482,-4.0642834,-4.247429,0.5781206,-0.16985679,0.48388338,-3.6567605,-1.3457824,0.15956056,-3.1742063,-0.8644099,-3.0475228,-2.907363,-0.86814284,-1.7242343,-1.6918118,-0.09717286,-0.19709629
Nkg7,0.4684136,-0.7074361,-0.05953002,-3.5691226,-3.6576152,0.50794494,-3.8136477,-4.3857746,-2.716001,-3.4668472,-2.4764569,0.5751895,-0.19360888,-0.61057043,0.47604644,-4.140896,-0.8532521,-2.0758133,-3.4876637,-0.24272001,-3.3323627,-0.74570566,-0.4068616,-2.9899821
Cldnd2,0.2603237,-0.43572965,0.1959334,-0.71938634,-0.24427715,-1.3252665,-0.604671,-0.010629557,-0.33359203,-0.5830285,-0.04637372,-3.8815877,-0.66792464,-0.89668006,-0.15228517,-0.101648286,-0.079338685,0.3083824,0.11008856,-0.0011034757,-0.20178363,-0.0072503164,-0.09623431,-1.2312692
Mir7051,-2.4481978,-2.7646704,-3.3230197,-3.8766916,0.4889164,-3.8247726,-0.42172492,0.39228702,0.0462296,-3.2444563,-0.4320609,-3.1639292,0.5060413,0.77086973,0.25564098,-1.2629863,-0.7756593,-3.1830242,-2.6462712,-0.6088856,0.01807648,-2.313974,-0.8658865,-0.7485918
4931406B18Rik,-4.352783,-4.3102617,-0.25210205,-0.44794968,-0.27265337,0.31021696,0.0873763,-0.4780395,-0.94988406,0.9168707,-0.49130976,-3.3682263,-4.046919,-1.9650831,-3.9125884,-0.6198304,-0.85817397,-1.7060934,-0.39134586,-2.0625994,0.3628651,-0.54123044,-2.9449053,-1.5451205
Klk10,-2.7930367,-0.23942614,0.01360631,-3.532289,-2.7092807,0.85887194,0.9301257,-0.49693328,-2.0873303,-3.8009846,-3.011338,-3.6843743,-1.0515796,-2.7779055,-2.5369682,-0.7421573,-0.7261939,-3.0560656,-2.8679826,0.2539112,-0.3752662,-1.2942162,-0.25127575,1.3517615
Klk9,-2.6939642,-0.92578894,-0.4290892,-4.0453305,0.05071217,0.48025274,-0.48825836,-0.9754205,-1.0047132,-3.9380696,-3.9822705,-2.7747047,0.31437862,-3.6939566,-1.92169,-0.26770085,-0.48695457,-2.765311,-0.10681304,-0.48461536,-0.035688102,-0.7774277,-0.77063453,-0.41876858
Klk1b8,-1.2831954,-3.3459442,-0.6562723,-3.820512,-2.4724085,-3.9662504,-0.6252385,-1.0472407,-3.543675,0.6750052,-4.3783245,0.25406146,-0.3504452,-0.7205538,-4.3052244,-0.6075885,-2.8026195,0.13461399,-4.240995,-2.4857037,0.39060676,-1.9029303,-1.2450134,-0.73453665
Klk1b4,-1.6750045,-4.052534,-0.5497215,-0.04635501,-0.5344836,-4.187095,-0.8746379,-1.6011907,-1.3718548,0.6912122,-1.1599824,-3.5126967,-3.5384054,-0.6535543,-0.3889565,-2.9174838,-1.0158538,-2.760058,-3.5994344,-0.9327537,-0.047159195,-4.1618543,-0.6620096,-0.16954666
Klk1b5,-3.4828267,-4.605019,-0.07442403,0.45993745,-3.4639173,-2.4243748,-1.2041135,-3.3460631,-1.3304256,0.51077926,-0.06244564,-2.2217066,-3.515786,-1.9829701,-0.09783059,-0.34780148,-0.802789,-2.9311202,-3.6249754,-1.5602484,-3.082789,-0.25360203,-0.33875808,-0.24017179
Snord88c,-0.37588543,0.15693584,-0.11058306,0.3193115,-0.38911232,0.703923,-0.09514338,0.44954044,0.08494666,-0.73277247,-0.035053533,-0.85394126,-0.24510777,-0.017540857,-0.33882636,0.1055724,-0.04898625,-2.2223747,-3.3085344,-0.03077844,-0.3868472,-0.073671535,-0.17128009,-0.106349185
Snord88a,-0.46002576,0.12950951,-0.1293231,0.28030187,-0.37797102,0.76178825,-0.08631104,0.38434675,0.047190987,-0.32272068,-0.12206735,-0.3988728,-0.27250287,-0.08367546,-0.3925852,0.094810754,-0.0417415,-2.4925873,-3.127463,-0.0049953423,-0.24249296,-0.08058156,-0.21446523,-0.06810342
Aspdh,0.35407016,-0.7121414,-0.85873747,1.5385202,0.8524394,-2.3025641,-2.6120765,-0.09308064,0.7550187,0.9237975,0.40222114,0.17046943,0.31868175,0.9833647,0.7776691,-0.18445987,-0.16038692,1.7465822,-0.090224065,-0.82042307,0.5711486,-0.43688214,-0.62666166,-0.65133715
Josd2,0.2707513,-3.2270327,-1.0834997,1.1070942,0.40425634,-1.5166137,-3.7834492,0.28675845,0.32998267,0.9227567,1.1098922,0.31816262,0.31791505,1.0474871,1.1837579,0.23157746,-0.7206768,1.2388254,-0.4959577,-0.8819723,0.327272,-0.6206721,-0.8988097,-1.5333126
