,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
Mir3077,-0.082174,0.71358085,-1.6541853,-3.378179,-0.2673078,0.469949,-3.1995814,-0.76283914,-0.06973207,-3.6318882,-3.3637955,-3.0849018,1.533818,0.51952815,0.15379024,0.048657477,-1.2600396,-0.39227375,-0.1348317,-0.9735658,0.41070354,-2.9611237
Shisa2,0.870349,0.072925,1.213956,0.8138398,0.273801,0.3801613,-1.1500049,0.5477671,0.3108234,-1.2925944,-2.1472094,-0.29438257,-0.57539326,-0.88418955,-0.99642307,0.6976295,-0.39709365,-0.16378854,0.2587488,-0.100948475,-0.9044968,0.84462947
Amer2,-1.033079,0.89100474,0.9526918,-0.18248531,-1.169451,0.08044922,-0.68945825,0.524969,-0.974013,-1.2416136,0.4262378,0.07849331,-1.4350673,-0.1462866,-0.33913976,0.39936787,-0.043008167,-0.35120147,0.129269,-0.14439997,0.020291373,-0.15186033
Arl11,-0.030843258,-2.5919302,-0.93163204,0.251688,0.24729937,0.37576777,-3.2195435,2.0554483,-2.2545114,-2.4234622,-0.45223176,0.32300514,0.041898757,-1.139817,-2.8863583,-1.37519,0.24878931,-0.8005253,0.24107909,-1.6435872,-2.5097163,-2.8177404
Mir8098,0.41187745,-0.4586137,0.6619217,-3.604755,-0.38895553,0.3749553,-2.3217275,-1.7952662,0.08043337,-2.1668727,-0.27361682,0.6324637,0.035976738,-0.32226756,-0.0872857,-0.015841246,-0.26405638,-2.454141,-0.19682044,-0.5915313,-0.41155952,0.21612573
Defb47,-3.418617,-0.4143798,-0.0292418,-0.59057194,-0.8794519,0.6070261,-3.2743032,-2.7203095,-1.4662603,-0.13962126,-0.2625357,0.51253337,-0.6783753,0.122259915,-0.40027308,-0.096477985,-0.2757141,-1.0648792,-0.34748697,-1.0344923,-1.4260422,-2.160592
4930471C04Rik,0.17324483,-3.5146964,0.59607553,-3.536807,-0.53114843,0.59734523,-2.7856126,0.21170187,-0.54603004,-3.7941632,-0.41888157,0.3864498,-0.7870067,-3.2757523,-1.2857593,-2.5279727,-0.7596259,-1.973309,-3.2306752,-0.6200666,-0.0055981874,-2.586505
Mir124a-1,0.3443764,0.59187007,0.60993904,-0.8670313,-1.9326574,0.14612716,0.31890193,0.8302141,-3.7869508,-0.42144626,-0.40752646,-0.25224286,-0.5359158,-0.14525741,-0.3020674,-0.35607496,-0.0022317758,0.27871993,-0.038433768,0.07313185,-0.3487844,0.3584802
Mir3078,0.33824366,0.5587783,0.60214067,-0.72384363,-1.7591134,0.16201426,0.2703254,0.800635,-2.923926,-0.32601392,-0.33004853,-0.20590891,-0.5630969,-0.15349816,-0.34663263,-0.23398836,-0.014737277,0.25175,-0.06260591,0.041002788,-0.37296197,0.33503762
1700001G11Rik,0.7563479,-0.16532813,-0.045887545,0.9024273,-0.010980874,0.3055799,-0.77848506,0.5377544,0.014450341,0.17919949,-0.3422534,-0.30842,-3.5460036,-0.8987976,-0.16702741,0.20110166,-0.27104622,0.4247793,-0.29115584,-1.310968,-0.43797106,-0.40747446
Gm6878,0.5583106,1.5033764,0.0026821494,0.7028547,0.7694972,0.6263922,-0.29263908,-3.1727147,0.24102697,0.58799726,-2.516199,-0.1139302,-1.6718231,-0.7240171,-2.4523842,1.2808506,-1.8862469,0.3148988,0.42457348,-0.13871147,-1.640884,-0.07890883
Mir6950,-2.5010674,-0.18670356,0.52499354,-1.7416171,-3.628527,-1.0104566,-0.80745137,-3.4956176,-0.76097465,-3.1851163,0.38275266,0.66823447,0.038485467,-1.1794314,-2.5953298,0.19413733,-2.5663276,-0.8281775,-0.034206092,0.29163575,-2.0503688,-3.228612
9930012K11Rik,0.84586656,0.22364303,-3.0190666,0.14682701,0.7069386,0.20954597,0.471255,-0.19814324,1.2806302,-0.070046306,0.48660654,0.5689008,0.77451015,0.08219901,-0.35187763,-2.7479117,-0.25613862,-0.71096945,-0.24726444,-0.87706816,-0.12137616,-0.9440905
Mir320,-1.729436,0.6581725,-0.31996822,-3.4051225,0.147538,0.58266324,-0.3519235,0.018264562,0.29646516,-2.0251737,-0.7656537,-0.4712431,-1.3451874,-0.56086826,-0.0789966,-0.094463825,-0.104592904,-0.8914723,-2.4850237,-1.272033,-1.437748,-0.45427823
Sftpc,-0.82914764,-0.96247095,-0.6773204,-2.0178938,-0.31814998,-0.0055783316,-0.68496585,-1.0442159,0.06455277,-3.6383367,0.14143302,0.04935229,0.18031502,0.90107393,0.9482422,-0.19725233,-0.05583547,0.009937771,-0.09912245,-0.23705168,-0.07022882,-0.70937645
Gm4285,0.8118472,-0.6354302,0.20054889,0.73470116,-0.10682678,-1.8207315,-0.013888299,-0.016638309,-0.020786077,-3.4884884,-0.8727821,-3.096581,0.54054505,-0.879632,-0.14260311,-2.6778018,-0.39628506,0.42157733,-1.7369004,-0.35877988,0.09014499,-1.5581313
Snora31,1.0356647,-0.8704551,0.5291558,0.61266553,0.046709955,-0.9379268,-0.16592583,0.007116139,-0.1868321,-3.224416,-0.13557133,-1.8370211,0.71683955,-0.39685905,-0.12005461,-0.945661,-0.22710492,0.6490216,-0.9855939,-0.22802003,0.081846416,-0.7348611
Cln5,-3.261065,-2.6532469,-2.123876,-0.7348354,-0.1109218,0.9047092,-1.2781348,-2.754544,-0.7547561,0.85924613,0.27958554,-1.8718966,0.14141273,-0.8148334,-0.7330831,0.8310406,-0.5403189,-0.5379219,-0.62130183,-1.0498246,0.14794439,-2.309291
4930449E01Rik,-0.5578252,1.5878977,0.0055135638,-0.35419586,-0.11110008,1.3280723,-0.015179634,-2.1798828,-0.14134769,0.08081859,-2.4936032,0.14899036,-1.6938738,-1.1366774,-1.3387823,1.099159,-0.9094995,0.2840358,-0.035546817,-0.24143142,-0.054618638,0.2731022
Mir6390,-0.8175909,-0.62728596,0.013029262,-0.6286747,0.2177341,1.6326865,-0.7205423,-3.3291318,-0.97716,-0.56646717,-0.4176096,-0.2813997,-1.325425,-2.4675598,-1.7381718,1.7382977,-1.0050384,1.051436,-0.17154899,-0.12912986,0.0019215196,0.35917628
Spry2,-0.5470523,1.677226,-0.9715913,0.11810385,0.4502766,1.2056735,-0.032101937,-0.18598992,0.53928685,0.5221369,-3.0075026,-3.158305,-0.9887343,0.5861346,0.2466934,1.1782104,-0.23409143,-0.011193611,-0.26751405,-0.4034703,-0.4277553,0.2846075
Mir17,0.47867823,0.48061252,0.4154057,0.25748587,-0.42916676,-3.2887454,0.6581574,0.14045659,-0.08965615,-2.02487,-1.2984916,-0.45684955,-0.22712989,-0.11516573,-1.2449714,-0.35288438,-0.2213691,0.37123477,0.084309086,-0.018065907,-0.1747826,-0.23551643
Mir18,0.65192455,0.7560976,0.63144237,0.04158756,-0.65967333,-3.350144,0.62107414,0.08929187,-0.035335228,-1.8035548,-1.8131214,-2.618733,-0.35827792,0.106386274,-1.0901537,-2.7663455,-0.22305107,0.3033757,-0.00966914,0.17047808,0.0912478,-0.25711587
Mir19a,0.6898836,0.7520357,0.6920163,-3.7584069,-0.55606604,-3.3939,0.63958734,0.14420524,-0.116855256,-1.3422904,-2.3207393,-2.484005,-0.28765166,0.11291772,-0.9848596,-2.7401707,-0.21873975,0.38304704,-0.017934382,0.23200187,0.11639479,-0.23508562
Mir20a,0.68165463,0.76545185,0.7135436,-3.6150258,-0.54592395,-3.2769508,0.6711725,0.14980063,-0.11789611,-1.3147669,-2.278033,-2.4711645,-0.26955295,0.12155226,-0.99453294,-2.5122855,-0.23994862,0.4046321,0.03403774,0.26610142,0.1492345,-0.22092322
Mir17hg,0.5056444,0.68830186,0.6454777,-2.0237966,-0.3432595,-3.1095576,0.56682897,0.10802513,-0.022745416,0.10791868,-1.6586883,-1.8246802,-0.24235402,0.25311708,-0.7067211,-0.71700394,-0.25377986,0.08850086,-0.08781451,0.20807028,-0.041643456,-0.44915205
Mir6239,-1.1208373,-0.06496648,-0.7997329,-0.61080277,-0.25471628,-0.64951706,-0.12762362,-0.8240798,-0.96471,-3.2074575,2.2994785,0.2517763,-3.6450648,-0.9765378,-1.9163382,-0.30461442,-0.165826,0.59496504,-0.15547797,-0.24560791,-1.2654119,0.19283906
Mir6241,-2.988448,0.037213176,-0.03852305,0.059737533,-0.24377654,0.91386807,-1.6090966,0.26229662,-1.1925126,-3.4724624,0.16739625,-0.16128276,-0.87851924,-3.4761894,-1.2499491,0.72453046,-0.3435398,-0.22624655,0.16419071,-0.05933875,-1.2872611,0.2937684
Mir6391,0.27930748,0.1684628,0.10719484,-0.38353905,-0.3587395,-0.27576083,-0.23395951,0.16057369,-0.62212694,0.3204856,-1.5780545,-0.103362024,-0.94509596,-2.095575,-1.9083406,-0.64616925,-0.06897179,0.54231083,0.025622904,0.13243198,-0.27401868,-0.6017758
1700108J01Rik,0.47961372,-0.34394526,0.101732284,0.6861385,0.23085001,-0.002407711,0.10538696,0.52903074,0.5637171,0.22579658,-0.8432442,-0.22676754,-1.1347021,-1.3990711,-2.862053,-0.48582822,-0.060590558,0.19318098,-0.8007537,0.23543021,-0.61090213,0.083619565
Rpl37,-1.3688197,-2.809272,0.16223186,0.6276921,-0.010566115,-0.21500555,-3.2614849,0.18227613,-0.7336508,-0.17762673,-2.6113293,-0.6441151,0.112285316,0.9607538,-0.40492555,-0.04634303,-2.0282109,-2.749808,0.48936605,-1.032191,-2.5122929,0.23796624
Snord72,-2.10704,-2.5060337,0.3503644,0.45447153,0.3097276,-0.2668311,-3.4121416,0.40882862,-0.057391167,-0.49762008,-0.8799489,-0.59699774,0.29862887,0.7461629,-0.35912153,0.30019873,-1.5166892,-2.6872563,0.49055183,-0.2425415,-1.878087,0.3470416
Gm5144,0.57551605,1.0920198,-0.5366604,0.97113013,0.4255553,-0.6040054,0.63707846,0.32037,0.888474,0.75868183,-3.8589988,-0.3369329,-1.799492,-0.59904975,-1.0941173,-0.4275553,-0.035789832,0.5961503,0.021093145,-0.14375792,-0.43358877,0.34951097
