,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9
166,-4.4745502,-4.0363827,-5.894542,-3.660713,-1.0615655,3.0746384,-3.3593981
167,-3.073965,-1.7800719,-4.3028755,2.4165933,-2.6270921,-3.9633222,-3.243649
168,-5.0488424,-2.0146432,-2.154829,-1.0003822,-4.828948,-5.3031044,2.5469837
169,-0.18250975,-2.3343945,2.425982,-1.5291857,-3.9507966,-3.0617068,-3.408658
170,-2.4861553,-1.5968109,-2.0142903,2.2321665,-4.2615986,-4.6627746,-1.5213705
171,-3.852185,1.929168,-3.9834979,-1.2256486,-1.3660071,-4.3731503,-4.5655594
172,2.431405,-0.72851646,-5.777393,-4.4035416,-5.667307,-4.1767783,-4.253251
173,-4.8299575,-0.6843681,-5.2201695,2.2140045,-3.8115232,-4.7621665,-4.6600804
174,2.618084,-0.9166924,-5.9257984,-0.9544674,-5.249351,-4.4879737,-4.523032
175,-3.7329688,-0.66701984,-3.6653347,-0.5129327,-2.3377466,-4.0857906,2.797114
176,2.6284826,-3.804498,-2.0568018,-5.7067084,-2.5299478,-4.233888,-4.9913554
177,-3.278296,-6.326529,-2.786212,2.2541685,-2.1850698,-5.1578474,-3.6527824
178,2.4285574,-1.6510205,-4.187378,-4.5883045,-5.956411,-4.930227,-4.6923695
179,-3.8245933,-0.55199516,-4.426573,-5.421715,-3.6768954,2.9576833,-4.1197505
180,-4.101182,-4.616372,-3.7776985,-0.6624267,-2.5907843,-4.849446,2.5661976
181,2.610859,-2.7977507,-1.0283854,-0.60937554,-0.76759636,-4.2679167,-3.7004967
182,2.6261768,-0.7597596,-6.11325,-0.2672272,-3.8027558,-5.363024,-4.65172
183,-4.0238447,2.231004,-2.7202778,-0.62382853,-1.240758,-3.656422,-3.7367387
184,-3.7102911,-4.731212,-5.5639067,-1.3788834,-1.2301373,-5.547622,2.619715
185,2.9161057,-0.51416016,-3.7588148,-3.5792449,-2.8448632,-4.2999153,-4.85045
186,-4.5888743,-3.9558904,-5.1319127,-5.2133555,-5.631158,2.8900452,-3.8131723
187,-4.7137465,-0.041342616,-4.8972473,-1.9931353,-3.5496557,3.1072912,-4.153557
188,-5.10247,-1.5629548,-4.424701,-3.786849,-6.1337047,2.7567227,-4.7372785
189,-2.9137995,-4.8563433,2.381257,-1.3683085,-5.495229,-4.0651264,-4.207245
190,-4.0660067,-1.0025159,-3.2764478,-1.214962,-5.542607,3.0247817,-0.9418546
191,-3.1715493,-5.1070514,2.7509716,-5.2267056,-3.0895393,-4.8053865,-4.024143
192,-2.0048318,-0.23538658,-2.8924685,2.2997327,-5.3445506,-4.163298,-2.8475385
193,-1.4638169,-2.5200129,-5.1944895,2.259332,-4.5749516,-3.184789,-3.9145083
194,-4.756279,-1.6830999,-2.7045236,-1.7048106,-4.58887,2.8759472,-3.9932492
195,-3.015165,2.2392151,-0.50246716,-1.4483232,-1.5254977,-4.600938,-2.9615428
196,-3.1968246,-1.8729111,-5.031444,-2.108211,-2.621415,-4.4063587,2.6735091
197,-4.2965317,-1.2050521,-4.124278,-5.4412494,-4.6119967,2.9962192,-2.6293805
198,-1.1545289,2.0317917,-3.009893,-3.3097646,-4.827304,-2.5876994,-2.960387
199,-4.271016,-2.5768094,-0.65925217,-3.0391054,-5.6546564,-3.8202395,2.4718828
200,2.6323323,-4.851822,-5.643903,-1.3344407,-4.3662333,-3.6085765,-4.9674244
201,-4.6253605,1.8747544,-3.8174114,-3.0646367,-1.206012,-4.570977,-3.2860112
202,-0.23320979,-4.428376,-5.613128,-5.888323,2.6196196,-4.337659,-3.903101
203,-4.0557766,-0.9298557,-5.6169286,-4.510541,-4.7014875,3.0231526,-5.080279
204,2.8447363,-2.0008252,-1.3007743,-1.433519,-5.3169003,-4.3955917,-3.4172556
205,-0.030427337,-1.5424118,-4.496967,-4.1085587,-2.3176517,-5.355719,2.786272
206,-3.27465,-2.7937787,-3.9728985,-2.6325223,-4.222541,-4.7085304,2.7479138
207,-2.418024,-0.9697151,-5.6695313,-1.2190208,2.487997,-5.325203,-3.870101
208,-4.013769,-2.9571154,-2.0731435,-3.0272462,-4.2028484,2.9717736,-2.5566087
209,2.579432,-1.2421365,-3.3617868,-1.85541,-5.55299,-4.649254,-2.3492434
210,-4.288617,-2.66884,2.3167675,-4.2932644,-5.288249,-4.0153694,-5.4998574
211,2.643746,-4.267112,-3.0192907,-4.678692,-1.5918231,-4.8705726,-5.429184
212,-2.4506717,-3.7754135,-1.69881,-1.341986,2.7278826,-1.865981,-4.125942
213,-4.459398,-0.35506526,2.8993309,-1.9474527,-4.0017,-3.76535,-3.5584176
214,-5.3104854,-1.572777,-5.591986,-3.218024,2.6803656,-4.1462507,-5.4815683
215,-1.1291368,-0.1386019,2.529278,-1.3765838,-3.1306176,-3.8623846,-3.1510975
216,-3.534629,-3.0044224,-4.678473,2.2050219,-3.484929,-4.0831075,-4.842206
217,-1.9756328,-1.5073346,-2.9107172,-1.3462691,-4.2919903,-4.627373,2.532399
218,-4.0122037,-2.8268507,-3.0419047,-1.9016668,2.3776727,-5.1841483,-5.0778265
219,-3.7537696,1.8343048,-4.2934103,-2.8034866,-1.3508132,-5.423323,-4.139203
220,-0.9142014,-1.6641358,2.6574361,-1.7547017,-5.1162143,-4.450137,-3.8965528
221,-1.294144,-5.692178,2.6296272,-1.040797,-4.2323847,-4.540354,-4.7533364
222,-3.8382285,-4.4241943,2.560863,-6.0740614,-1.451807,-4.816062,-4.6170273
223,-4.9917355,-1.7472855,-0.7845536,-2.064117,-1.5391619,-5.372184,2.3688042
224,-2.336362,-1.2157536,-0.6550739,2.4090402,-4.714746,-3.3407252,-4.972707
225,-3.61322,-6.025604,-1.3885977,-4.9952393,-3.7418425,-5.2925663,2.5457382
226,-3.2785537,-1.2369549,-1.6230634,-5.565916,2.4141767,-5.22364,-4.6575685
227,-3.9920838,-1.5471137,-2.2756023,2.1018605,-0.33092093,-4.968507,-4.563732
228,-3.210986,2.2643733,-5.4638524,-3.3713598,-3.5699518,-4.357252,-4.897934
229,-4.6053815,-0.6027637,-6.137024,-1.9673457,-1.1604807,2.874573,-4.7611623
230,2.6398497,-1.7841003,-0.79639083,-2.613885,-4.145092,-4.8224382,-4.2364044
