,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9
100,-4.538991,-4.058272,2.5633082,-0.90835357,-4.7968955,-3.2684488,-4.357996,-3.0936606,-0.5990323
101,-5.108703,-3.703157,-0.790642,-5.2551637,-5.004502,-3.9589345,-0.8419541,2.6191175,-0.004622221
102,-4.8188686,-3.9905272,-1.3975458,2.3893557,-3.964593,-3.1623363,-3.8013408,-3.0702846,-0.5701555
103,-0.716899,-3.041904,-0.7885182,-2.485118,-3.4104257,2.444462,-4.7131977,-2.5328922,-0.112229586
104,-0.6528385,-3.892705,-2.4796586,-3.6427999,-6.0012426,-3.9250717,-0.26249132,2.4079673,-0.29533088
105,-0.8160638,2.5108836,-2.6694918,-1.2440999,-4.5678573,-1.6035702,-1.9931833,-1.8673749,-0.48075682
106,-1.8741149,-3.1839793,2.6429064,-4.523862,-4.6026096,-2.0431318,-3.222405,-3.4536,-0.7063465
107,-3.2822928,-1.3244009,-2.1482084,-5.0208097,-5.578663,-3.9397042,-6.1050024,2.4411747,0.5142373
108,-3.6143572,-4.7845025,-3.7778637,-1.6413784,-3.9317362,-2.870847,-2.5042856,1.7862785,0.8185582
109,-1.6009011,-5.7244344,-1.3842089,-3.4561713,-4.226866,-1.3523884,-3.9242725,1.887953,-0.0030471683
110,-5.5244203,-2.8342912,-3.791429,2.6390162,-1.782201,-4.756771,-2.4838462,-2.399201,-0.4581232
111,2.3431795,-4.058097,-0.97436804,-3.215163,-4.5312214,-1.2124674,-4.410137,-3.2980015,-0.26678336
112,-1.0970405,-5.299754,-4.217683,-2.6749609,2.568618,-1.5511751,-5.660112,-3.7793427,-0.5185855
113,-1.993326,-2.0545135,-2.6469944,2.1863523,-4.937895,-5.0023685,-4.7808886,-4.9069552,-0.7047876
114,-2.6597283,-2.962974,-2.05147,2.5849707,-2.5193405,-0.83012074,-4.1424255,-1.9061365,-0.29804814
115,-0.7297373,-2.2841678,2.4610236,-1.9143949,-0.8193369,-4.6016946,-0.74919635,-2.8442872,-0.5441114
116,-5.147728,-1.9886293,-1.9332511,-3.0824213,-4.783606,-4.6795044,2.2938151,-4.4104257,-2.7646627
117,-2.4630284,-5.189441,-1.2730637,-4.8196907,-4.6915894,-4.9709816,-1.6911942,2.3604395,-0.3776633
118,-1.0397583,-3.0517905,-2.4972398,-5.046246,-4.259058,2.627463,-1.6671243,-4.196261,-0.5782217
119,-4.4239907,-5.761568,-1.6563929,-5.2626395,2.5857053,-4.5198007,-3.9481912,-4.1713943,-0.51968306
120,-0.11391443,-3.9684803,-1.6234586,-4.4052887,-1.8335544,-5.4206057,-0.6800134,2.427128,-0.53145355
121,-4.3820577,-2.1407363,-5.6698523,-6.194859,-5.642226,-1.1968989,-0.6198236,2.400818,0.7804009
122,-0.38590765,-4.2307854,2.7234547,-3.8466897,-4.9366007,-2.207429,-3.3936868,-5.183898,-1.1259475
123,-4.673119,-2.2192168,-1.3563842,-5.8681626,-5.522042,-5.199152,2.4687288,-3.9624112,-2.8051307
124,-0.94093853,-3.385088,-3.57958,-1.0967982,-1.1006234,-4.6545315,-1.7965906,2.4400392,-0.24938571
125,2.7090125,-2.993134,-2.6708322,-4.9735403,-4.6564326,-5.194014,-1.1483948,-5.041821,-1.1845686
126,-2.4147668,-4.489074,-0.3275595,-1.6753758,-5.6661572,-3.1590705,-3.0949616,2.2430604,0.22480297
127,-1.4317646,-3.9176767,2.313549,-1.9723945,-5.072053,-0.99670047,-3.2697773,-4.4118023,-4.3715715
128,-3.7463913,-4.7108107,-3.9187737,-4.2185535,-4.8798223,-1.4621526,-1.546765,2.3443913,0.64762175
129,-2.2101746,-1.4491911,-5.55293,-5.276347,-5.98108,-1.940831,2.7234664,-3.27445,-0.50781995
130,-4.0743585,-4.978653,-3.2192745,-5.3453245,-5.988238,2.7688699,-0.53964525,-4.4874544,-0.88819027
131,2.5400364,-1.2283556,-0.49895388,-1.1744984,-3.8020825,-0.45528182,-1.4168246,-4.9181137,-2.2452457
132,-1.407216,-1.15211,-1.5112433,-0.9053386,-1.2278271,-1.3291767,2.5474615,-4.1304717,-1.9808278
133,-1.6090083,-4.4402614,-3.0504909,-4.6546516,-3.5118887,2.5193772,-0.4604818,-4.7264066,-1.8103492
134,-4.7648363,2.5509923,-5.8020387,-5.556161,-4.038558,-5.4091353,-0.35667878,-3.6579196,-0.5690063
135,-0.9716627,-4.6215987,-0.49486327,-5.3855014,-4.002146,-4.5465326,-1.312256,2.0580509,0.2029764
136,-2.8602726,-2.0183508,-2.811413,2.5637846,-5.615322,-2.7580526,-1.5634627,-2.146922,-0.36845362
137,-0.9987159,-1.1543119,-1.6253431,2.4764295,-5.4661155,-3.374711,-5.485496,-4.4461174,-0.95154697
138,2.6398196,-2.046038,-4.6216884,-5.232816,-3.9390476,-4.8825016,-2.7035582,-4.244424,-0.8919217
139,-3.8061402,-1.2690716,-3.7892485,-4.3197665,2.5514152,-0.07045829,-3.075631,-2.6934767,-0.64940035
140,-4.007537,-1.3571737,-2.2005014,-5.224565,-6.3071003,-5.5254345,-0.5931754,2.5807853,-0.0139888525
141,2.816548,-2.6020598,-4.4945626,-5.2782145,-1.5893552,-2.025145,-1.0058846,-3.623267,-0.8390572
142,-0.25543386,2.3872375,-1.3589761,-5.9583793,-5.3794084,-4.507992,-0.33779758,-4.2165637,-0.7202531
143,-3.7206943,-3.2316847,-0.38637996,2.3839502,-4.236006,-3.343577,-4.6393886,-3.0287106,-0.5350042
144,-1.3603806,-2.319038,-2.0390117,-5.908439,-3.3836322,2.4566178,-1.8529506,-4.9624357,-4.002238
145,-3.6472266,-4.3376117,-1.9472048,-5.10395,-3.4430892,-1.5958815,-1.7353678,2.1054502,-0.23235425
146,-3.9310493,-1.6437556,-2.3419404,-3.9624484,-4.4474993,-0.19501549,2.6365469,-4.551692,-0.80226874
147,-4.3186245,-4.366803,-4.2818737,-3.6453018,-3.9422538,-4.3169518,-6.001521,2.5609167,0.2920928
148,-3.4161916,2.6254497,-5.6299915,-5.0559654,-5.101779,-0.20843157,-4.736842,-4.8470597,-1.3088148
149,-5.0303187,2.879851,-4.575568,-0.9473406,-5.538844,-4.248475,-4.4381595,-4.7144513,-1.3308773
150,-3.3514903,-1.5805807,-2.0296617,-2.2328064,-5.342699,-2.3307467,-1.4985046,2.1529155,-0.4825548
151,-1.8218774,-5.1018176,-2.612239,-4.800807,-5.4333367,-4.78787,0.13985986,2.4930482,-0.094849646
152,-3.5442932,-2.8284183,-2.454943,-5.573189,-5.979119,-4.486166,-4.3147607,2.1402318,1.1920594
153,-3.54756,-4.6933255,2.3893304,-4.105432,-0.869269,-2.0624938,-3.800474,-4.244892,-2.4822187
154,-1.3534358,-3.4949894,-3.131585,-4.835414,-5.2068887,-4.645417,-4.5550003,2.5366356,-0.12583315
155,-6.0505333,-3.5744643,-1.3655384,-4.1639204,2.7581785,-4.871413,-2.5288267,-4.1176476,-1.4073352
156,-4.984296,-0.56409115,-1.6958109,2.5661821,-3.1982071,-3.7847888,-1.759646,-2.6269937,-0.53971696
157,-4.790162,2.6410804,-1.2299608,-4.6155725,-0.9080776,-1.5312235,-3.9126904,-3.6625884,-0.7077303
158,-4.366465,-3.9912205,-0.044748366,-5.5491905,2.5690882,-4.0485554,-4.987614,-4.148427,-2.0621033
159,-1.3645308,2.8454754,-3.640167,-6.164982,-3.3175018,-3.9289908,-0.12563962,-3.2818718,-0.9312496
160,-1.6143897,2.4682927,-1.8655587,-4.110615,-5.214415,-1.4783282,-0.9533042,-3.5097325,-0.91769135
161,-1.4522067,-2.0581932,-0.36441857,-5.056008,2.6999876,-1.8674247,-4.377466,-4.538084,-1.0119166
162,2.433337,-4.8460574,-3.284016,-4.649314,-4.664843,-1.7401401,-0.7663974,-2.9486978,-0.43847656
