Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
-0.19116676,-0.33888683,-0.15484814,-0.28213406,-0.3094855,3.3910546,-1.0070664,2.4543867,3.6149838,-1.1716154,-0.4129975,-0.123890154,-0.19552507,-0.3052236,-0.16109964,-0.18775298
-0.24562761,3.2806413,-0.50704,0.632873,-0.5632213,-0.26988405,-0.27770752,-0.32487923,-0.20269085,-0.2131931,-0.38766655,-0.56240696,-0.32824773,-0.30926588,-0.6150194,-0.49909768
-0.7888414,-0.23287085,0.17627588,0.4722156,0.4772498,-0.20653714,-0.17775333,-0.33183032,-0.12668693,-0.27264947,-0.18705691,-0.18440807,-0.17382643,-0.24929473,-0.30107278,-0.29444575
-0.20162585,-0.058743037,-0.00025185943,-0.41396612,-0.63749146,-0.3432408,-0.12999028,-0.41045076,-0.24679366,-0.14395487,-0.041455604,0.062294006,-0.18897592,-0.09852874,-0.011658947,-0.010589474
-0.5729618,-0.4388481,-0.51460624,-0.15039667,-0.14374071,-0.34990436,-0.16157259,-0.5178704,-0.32056618,-0.17846769,-0.41713974,-0.14206071,-0.14139935,-0.15841898,-0.18439421,-0.5475849
-0.3335349,0.051394887,0.60423976,0.5744964,0.9294088,-0.030783702,1.8950684,0.5917072,-0.2775646,-0.0068482533,-0.14722896,-0.13667674,-0.1348069,-0.22291061,-0.2655012,-0.21154019
-0.25355834,-0.27445564,-0.8105303,-1.0898538,-0.3140279,-0.30597156,-0.12467332,-0.37856138,-0.29972702,-0.20263688,-0.15299934,-0.12366576,-0.1963086,-0.25224164,-0.1605745,-0.13050921
-0.28748724,-0.24935102,-0.8931295,-0.26753902,-0.70890325,-0.37542263,-0.12970717,-0.58316857,-0.3286103,-0.056399874,-0.026692357,0.01895916,-0.26678315,-0.000823113,-0.10583397,-0.45283315
-0.5398302,-1.1066133,0.31547976,-0.86001223,-0.6038085,-0.28626817,-0.20822571,-0.39927745,-0.20113969,-0.106975704,3.5742524,-0.326744,-0.31098923,-0.60100406,-0.24465902,3.5682013
-0.15276454,-0.83905965,-0.52854437,-0.010992657,-0.87377375,-0.36259997,-0.27276373,-0.4719276,-0.2965231,-0.13097043,-0.8037625,3.2388597,-0.39331695,3.1922421,3.2476523,-0.22083728
