,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
69,1.7707558,-2.9770005,-2.756314,-4.366061,-3.4648402,-0.7523724,-2.744176,-3.8094645,-2.0954003,-2.5194056,-1.1163609
70,-6.284996,-5.251997,-4.8198357,-4.5083895,-5.469434,-1.8109089,2.1278358,-5.8688154,2.0270896,2.0792677,-2.0474777
71,-6.0632777,-2.7797074,-3.7088885,-4.829787,-4.2430444,1.9002018,-3.2371066,-5.700978,-3.4554489,-2.9724898,2.2028031
72,-6.2421846,-5.369062,1.9767036,-3.001383,2.095862,-1.2417626,-1.4478654,-6.261723,-1.4903746,-1.8093084,-1.3231936
73,-5.8772693,1.6679819,-4.246584,1.663512,-4.3759956,-1.579762,-1.0673082,-5.7452974,-1.1073115,-1.0662587,-2.2594981
74,-3.914067,-2.4442024,1.7781134,-4.0253506,1.9576387,-1.4669838,-2.3868525,-5.440851,-2.1208172,-2.6076195,-2.2552528
75,-4.7158275,-1.7108871,-2.403523,-4.3074327,-1.1059574,-1.6077471,-3.4060326,2.0007467,-3.5676236,-3.0845544,-3.2285035
76,-5.911065,-2.0308094,-2.6719098,-3.090234,-1.3074121,-1.534034,-2.5917835,2.0176182,-2.4931383,-2.8305075,-2.364674
77,-4.580786,1.54332,-3.1325693,1.4677477,-2.138763,-1.3820057,-1.3047915,-5.3705177,-1.3467541,-1.6601415,-1.7425998
78,-6.217514,-6.2371945,-3.0548716,-4.235654,-4.6857486,2.1120791,-3.1678643,-5.5986166,-3.3534932,-2.981223,2.363379
79,-5.3348513,1.441762,-2.6966677,1.4639131,-0.8035195,-1.8323578,-1.8617136,-3.4335504,-1.62944,-2.0021195,-2.7899482
80,-6.4475474,-4.3080597,-3.4988399,-2.8553834,-3.627564,-4.0679207,2.1116774,-5.961897,2.0471213,2.0580804,-4.6005483
81,-5.5263324,-3.6625404,-2.842072,-5.3276577,-5.49528,-2.842284,2.169711,-6.048499,2.063422,2.05934,-3.6325634
82,-5.7811046,1.794522,-2.0457144,1.7007909,-1.9199107,-0.7522709,-1.2319646,-3.4176733,-1.3537688,-1.3567454,-1.2993
83,-6.5644093,-5.0676374,-4.235615,-5.3656006,-2.9558516,-4.7821074,1.9455347,-6.092684,1.7965527,1.8313913,-5.276887
84,2.0294025,-5.2604055,-0.5634793,-2.527442,-1.1602323,-0.8361461,-0.5458858,-1.9945132,-0.7761824,-0.7831741,-0.7788629
85,-5.866849,-5.449609,-1.904768,-6.154763,-4.2570887,-3.9740126,2.0440962,-6.0375776,1.8645434,1.9777622,-4.4835653
86,-5.0281663,-5.331965,-3.0468473,-4.2868123,-1.2349055,-2.5398872,-2.0153837,1.8781066,-2.0570421,-2.2367702,-3.067749
87,-4.955781,1.4516194,-3.2481637,1.4587281,-3.1712682,-0.9375413,-1.5456707,-4.519234,-1.455596,-1.629462,-1.3329105
88,-3.3349042,-2.1739197,-1.4262388,-3.9781337,-0.8222548,-1.0452657,-2.9760048,2.1028116,-3.1709294,-2.8958752,-1.0907795
89,-5.676663,-2.168333,2.0045457,-2.9128575,2.0987704,-0.64629585,-1.8290992,-5.556868,-1.8664874,-1.5574347,-0.5906765
90,-2.2840672,1.8154793,-2.2247496,1.8008854,-1.0909885,-0.75297475,-1.1175071,-5.8996973,-1.2642273,-1.1635303,-0.7192728
91,-6.0248632,-4.8886356,-2.3188615,-5.0143423,-5.8591537,-4.7027416,2.1446853,-6.081067,2.0737092,2.0728226,-5.145961
92,-2.7613006,-1.9679849,-2.9597952,-3.1084654,-2.8642445,-1.4856753,-1.2960279,2.0959141,-1.4600804,-1.3510827,-2.835054
93,-5.468932,-5.2452407,1.6433535,-4.8715334,1.8578753,-2.3369246,-2.2741485,-4.0802975,-2.1629725,-2.4433465,-2.6685822
94,-2.6380978,1.766212,-0.8581451,1.7680364,-3.8044424,-1.0479277,-0.8070431,-2.3994257,-0.63097304,-0.7648009,-2.0734792
95,-5.987039,1.5320199,-3.1723373,1.3579098,-2.9503026,-1.8364352,-1.7117755,-4.0906315,-1.7042872,-2.0802443,-2.862481
96,-4.093076,1.7118359,-1.0422163,1.6922605,-1.9656595,-0.7470629,-1.2599542,-4.580065,-0.9725836,-0.93479085,-2.0350528
97,-4.310981,1.8491328,-1.2818873,1.8503904,-1.8415517,-0.7706833,-1.5836737,-2.8522913,-2.0295944,-2.2241278,-1.7342718
98,-6.0601645,-4.5355554,-2.9590454,-4.67429,-2.0152204,1.9041007,-3.460493,-5.5419025,-3.8603349,-3.7435238,2.135664
99,1.8883717,-3.4002995,-1.0986251,-1.6556094,-1.437035,-0.6490201,-0.51871943,-2.053948,-0.7890711,-0.35135308,-0.91072893
